level_0,index,DEPTH_MD,GROUP,FORMATION,CALI,RHOB,NPHI,DTC,BS
4422,4422,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4423,4423,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4424,4424,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4425,4425,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4426,4426,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4427,4427,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4428,4428,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4429,4429,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4430,4430,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4431,4431,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4432,4432,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4433,4433,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4434,4434,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4435,4435,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4436,4436,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4437,4437,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4438,4438,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4439,4439,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4440,4440,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4441,4441,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4442,4442,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4443,4443,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4444,4444,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4445,4445,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4446,4446,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4447,4447,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4448,4448,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4449,4449,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4450,4450,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4451,4451,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4452,4452,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4453,4453,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4454,4454,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4455,4455,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4456,4456,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4457,4457,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4458,4458,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4459,4459,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4460,4460,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4461,4461,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4462,4462,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4463,4463,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4464,4464,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4465,4465,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4466,4466,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4467,4467,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4468,4468,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4469,4469,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4470,4470,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4471,4471,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4472,4472,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4473,4473,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4474,4474,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4475,4475,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4476,4476,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4477,4477,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4478,4478,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4479,4479,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4480,4480,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4481,4481,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4482,4482,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4483,4483,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4484,4484,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4485,4485,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4486,4486,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4487,4487,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4488,4488,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4489,4489,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4490,4490,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4491,4491,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4492,4492,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4493,4493,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4494,4494,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4495,4495,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4496,4496,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4497,4497,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4498,4498,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4499,4499,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4500,4500,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4501,4501,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4502,4502,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4503,4503,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4504,4504,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4505,4505,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4506,4506,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4507,4507,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4508,4508,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4509,4509,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4510,4510,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4511,4511,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4512,4512,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4513,4513,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4514,4514,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4515,4515,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4516,4516,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4517,4517,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4518,4518,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4519,4519,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4520,4520,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4521,4521,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4522,4522,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4523,4523,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4524,4524,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4525,4525,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4526,4526,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4527,4527,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4528,4528,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4529,4529,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4530,4530,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4531,4531,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4532,4532,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4533,4533,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4534,4534,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4535,4535,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4536,4536,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4537,4537,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4538,4538,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4539,4539,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4540,4540,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4541,4541,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4542,4542,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4543,4543,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4544,4544,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4545,4545,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4546,4546,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4547,4547,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4548,4548,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4549,4549,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4550,4550,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4551,4551,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4552,4552,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4553,4553,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4554,4554,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4555,4555,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4556,4556,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4557,4557,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4558,4558,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4559,4559,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4560,4560,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4561,4561,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4562,4562,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4563,4563,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4564,4564,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4565,4565,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4566,4566,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4567,4567,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4568,4568,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4569,4569,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4570,4570,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4571,4571,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4572,4572,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4573,4573,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4574,4574,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4575,4575,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4576,4576,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4577,4577,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4578,4578,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4579,4579,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4580,4580,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4581,4581,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4582,4582,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4583,4583,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4584,4584,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4585,4585,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4586,4586,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4587,4587,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4588,4588,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4589,4589,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4590,4590,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4591,4591,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4592,4592,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4593,4593,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4594,4594,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4595,4595,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4596,4596,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4597,4597,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4598,4598,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4599,4599,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4600,4600,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4601,4601,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4602,4602,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4603,4603,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4604,4604,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4605,4605,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4606,4606,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4607,4607,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4608,4608,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4609,4609,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4610,4610,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4611,4611,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4612,4612,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4613,4613,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4614,4614,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4615,4615,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4616,4616,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4617,4617,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4618,4618,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4619,4619,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4620,4620,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4621,4621,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4622,4622,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4623,4623,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4624,4624,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4625,4625,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4626,4626,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4627,4627,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4628,4628,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4629,4629,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4630,4630,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4631,4631,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
4632,4632,UltraDDepth,HEGRE,SkagerrakFm,VNarrowCaliper,MidRHOB ,LowPorosity,MidVelocity ,BS85
