,LITHOLOGY
11756,Limestone
11708,Limestone
505,Limestone
8511,Sandstone
13686,Sandstone
3303,Sandstone
6107,Sandstone
1144,Chalk
6041,Sandstone
3070,SandstoneShale
2944,SandstoneShale
13672,Sandstone
12748,SandstoneShale
1289,Marl
4093,SandstoneShale
13078,Sandstone
2600,Limestone
5287,Sandstone
2950,SandstoneShale
10471,SandstoneShale
10098,Sandstone
2152,Limestone
12941,Sandstone
12495,Sandstone
7572,Sandstone
2218,Limestone
2280,Limestone
685,Tuff
6436,Sandstone
12170,Sandstone
10913,Sandstone
796,SandstoneShale
2953,SandstoneShale
1929,Chalk
9552,Limestone
9724,Sandstone
13554,Sandstone
13643,Sandstone
12062,SandstoneShale
1751,Chalk
7826,Sandstone
11549,Limestone
8780,Sandstone
6679,Sandstone
11638,Limestone
13783,Sandstone
7875,Sandstone
7494,Sandstone
4218,Sandstone
7805,Sandstone
2430,Limestone
13763,Sandstone
4857,Sandstone
13417,Sandstone
4877,Sandstone
8368,Sandstone
8565,Sandstone
8012,Tuff
10004,Sandstone
8392,Sandstone
5653,Sandstone
6983,SandstoneShale
9409,Limestone
13714,Sandstone
3957,Sandstone
8488,Sandstone
1843,Chalk
5796,Marl
6262,Sandstone
11267,Limestone
1764,Chalk
2566,Marl
7952,Tuff
6045,Sandstone
9714,Sandstone
2993,SandstoneShale
8075,Tuff
1008,Limestone
12899,Sandstone
13314,Sandstone
10635,Sandstone
502,Limestone
676,Limestone
7519,Sandstone
4025,SandstoneShale
12027,Coal
13168,Coal
7957,Tuff
11642,Limestone
3038,SandstoneShale
2861,Marl
3995,SandstoneShale
13725,Sandstone
7098,SandstoneShale
10314,Tuff
7091,SandstoneShale
7006,SandstoneShale
1948,Chalk
5336,Sandstone
10394,Tuff
1686,Chalk
1840,Chalk
6524,Sandstone
8329,Sandstone
3918,Sandstone
7100,SandstoneShale
5644,Sandstone
8485,Sandstone
2997,SandstoneShale
571,Tuff
7980,Tuff
12890,Coal
7469,Sandstone
386,Sandstone
10761,Sandstone
11175,Limestone
8484,Sandstone
7668,Sandstone
8530,Sandstone
8099,Tuff
303,SandstoneShale
11185,Limestone
9652,Limestone
5133,SandstoneShale
4353,Sandstone
5970,Sandstone
12575,Sandstone
6453,Coal
13687,Sandstone
11404,Limestone
555,Limestone
9828,Sandstone
6349,SandstoneShale
5015,SandstoneShale
4018,SandstoneShale
6626,Coal
8380,Sandstone
2907,Marl
13793,Coal
10155,Dolomite
6666,Sandstone
1295,Chalk
6121,Sandstone
2731,SandstoneShale
8801,Limestone
5460,Sandstone
3313,Limestone
1801,Chalk
12469,Sandstone
11009,Sandstone
13675,Sandstone
7961,Tuff
10904,Sandstone
10252,Tuff
9327,Limestone
7065,SandstoneShale
5716,Sandstone
10547,Sandstone
4844,SandstoneShale
3955,Sandstone
13216,Coal
9043,Sandstone
1756,Chalk
4470,SandstoneShale
9044,Sandstone
12767,SandstoneShale
6056,Sandstone
6206,Sandstone
7764,Sandstone
5513,Sandstone
10725,Sandstone
3840,Sandstone
6693,Sandstone
6161,Sandstone
950,Limestone
11382,Limestone
9593,Limestone
4391,SandstoneShale
1609,Chalk
4851,SandstoneShale
12347,Sandstone
2484,Marl
8749,SandstoneShale
13834,Sandstone
3147,Sandstone
1973,Chalk
9383,Limestone
6872,Sandstone
2578,Marl
13230,Coal
11872,Limestone
11554,Limestone
941,Limestone
1669,Chalk
9143,Limestone
3099,Sandstone
271,Limestone
4924,SandstoneShale
10023,Sandstone
11912,Limestone
5707,Sandstone
7259,SandstoneShale
7926,Tuff
12581,Sandstone
855,SandstoneShale
13161,Sandstone
10143,Dolomite
12416,Sandstone
9219,Limestone
13138,Sandstone
9743,Sandstone
4786,SandstoneShale
13229,Coal
8000,Tuff
6092,Sandstone
7402,SandstoneShale
9073,Sandstone
8862,Sandstone
8764,Limestone
419,Sandstone
7551,Sandstone
13484,Sandstone
3492,SandstoneShale
3461,Sandstone
3781,Sandstone
11563,Limestone
1971,Chalk
2305,Limestone
13355,Sandstone
4647,Sandstone
10493,Sandstone
4297,Sandstone
10207,Tuff
8248,Sandstone
3845,Sandstone
11643,Limestone
10712,Sandstone
9631,Limestone
9795,Sandstone
1788,Chalk
2132,Limestone
12734,Coal
13295,Coal
272,Limestone
5737,Sandstone
5396,Sandstone
2336,Limestone
280,Sandstone
4752,SandstoneShale
8741,Sandstone
1989,Chalk
521,Limestone
7624,Sandstone
1265,Chalk
5253,Sandstone
11964,Limestone
2636,Marl
12911,Sandstone
4810,SandstoneShale
1104,Limestone
12538,Sandstone
9843,Sandstone
8072,Tuff
4158,Sandstone
2067,Chalk
1331,Chalk
3669,Sandstone
7818,Sandstone
4212,Sandstone
12650,Sandstone
5386,Sandstone
5350,Sandstone
6101,Sandstone
5237,Sandstone
6551,Sandstone
4719,Sandstone
1657,Chalk
4063,SandstoneShale
12463,Sandstone
7781,Sandstone
6928,SandstoneShale
11190,Limestone
12166,Sandstone
6224,Sandstone
9489,Limestone
9180,Limestone
3130,Sandstone
10670,Sandstone
9958,Sandstone
1776,Chalk
8041,Tuff
13436,Sandstone
5557,Sandstone
2413,Limestone
8894,Sandstone
10262,Tuff
4735,SandstoneShale
12372,Sandstone
13938,Coal
2181,Limestone
6351,SandstoneShale
8007,Tuff
7819,Sandstone
2391,Limestone
4288,Sandstone
7288,SandstoneShale
5104,SandstoneShale
6091,Sandstone
10967,Sandstone
7507,Sandstone
306,SandstoneShale
5342,Sandstone
9276,Limestone
3605,SandstoneShale
6961,SandstoneShale
2617,Marl
4725,SandstoneShale
12726,Coal
7185,SandstoneShale
3490,SandstoneShale
4928,SandstoneShale
2583,Marl
7757,Sandstone
4932,SandstoneShale
6452,Coal
11983,Limestone
117,Limestone
2954,SandstoneShale
4139,SandstoneShale
876,SandstoneShale
12508,Sandstone
11330,Limestone
41,Sandstone
13565,Sandstone
2838,Marl
7286,SandstoneShale
11509,Limestone
12342,Sandstone
12584,Sandstone
4023,SandstoneShale
3954,SandstoneShale
6062,Sandstone
5413,Sandstone
10956,Sandstone
3373,SandstoneShale
9072,Sandstone
8269,Sandstone
12022,Coal
5420,Sandstone
2848,Marl
8494,Sandstone
13932,Coal
10512,Sandstone
2424,Limestone
10054,Sandstone
2004,Chalk
12221,Sandstone
9225,Limestone
10675,Sandstone
5430,Sandstone
5832,Marl
4754,SandstoneShale
9466,Limestone
7129,SandstoneShale
11533,Limestone
13279,Coal
5960,Sandstone
3974,SandstoneShale
1225,Chalk
4768,SandstoneShale
3737,SandstoneShale
1906,Chalk
10479,Sandstone
3253,Sandstone
1252,Chalk
13683,Sandstone
6834,Sandstone
3727,Sandstone
8931,Sandstone
1152,Chalk
11652,Limestone
13729,Sandstone
13807,Sandstone
8483,Sandstone
5540,Sandstone
663,Tuff
11855,Limestone
7088,SandstoneShale
7189,SandstoneShale
4007,SandstoneShale
2581,Marl
938,Limestone
12080,SandstoneShale
7264,SandstoneShale
1675,Chalk
7105,SandstoneShale
11415,Limestone
12189,Sandstone
6501,Sandstone
9165,Limestone
13771,Sandstone
2622,Limestone
6925,SandstoneShale
8538,Sandstone
9584,Limestone
6535,Sandstone
4064,Sandstone
4867,SandstoneShale
10848,Sandstone
6270,Sandstone
10609,Sandstone
13895,Coal
5255,Sandstone
2316,Limestone
7886,Sandstone
6242,Sandstone
1674,Chalk
2128,Limestone
7097,SandstoneShale
882,Limestone
9012,Sandstone
6923,Sandstone
13489,Sandstone
9556,Limestone
3090,Sandstone
4974,SandstoneShale
8581,Sandstone
4402,Sandstone
13784,Sandstone
13841,Coal
2802,Marl
2285,Limestone
8212,Limestone
9347,Limestone
12539,Sandstone
8247,Sandstone
7491,Sandstone
10456,SandstoneShale
901,Limestone
13761,Sandstone
6151,Sandstone
2353,Limestone
12139,Sandstone
8656,Sandstone
11224,Limestone
4548,Sandstone
13312,Coal
6072,Sandstone
8102,Tuff
1939,Chalk
6043,Sandstone
3763,SandstoneShale
1871,Chalk
1043,Limestone
3915,Sandstone
7878,Sandstone
3240,Sandstone
8033,Tuff
3821,Sandstone
7431,SandstoneShale
2162,Marl
6441,Coal
8613,Sandstone
12364,Sandstone
13858,Sandstone
13449,SandstoneShale
3790,Sandstone
6014,Sandstone
7041,SandstoneShale
1629,Chalk
13197,Coal
3914,Sandstone
6111,Sandstone
2180,Limestone
6478,Sandstone
7785,Sandstone
8842,Sandstone
5720,Sandstone
3398,SandstoneShale
3743,Sandstone
6332,Sandstone
10297,Tuff
1665,Chalk
8283,Sandstone
6726,Sandstone
12337,Sandstone
8090,Tuff
1655,Chalk
8067,Tuff
12215,Sandstone
11767,Limestone
12620,Coal
3405,SandstoneShale
3489,SandstoneShale
10265,Tuff
2321,Limestone
5468,Sandstone
1069,Limestone
8844,Sandstone
547,Tuff
12621,Coal
5566,Sandstone
8974,Sandstone
366,Sandstone
4561,Sandstone
5839,Marl
6564,Sandstone
10589,Sandstone
11494,Limestone
1429,Chalk
6932,SandstoneShale
12567,Sandstone
9673,Limestone
11943,Limestone
6074,Sandstone
10012,Sandstone
6109,Sandstone
4450,Sandstone
5419,Sandstone
10482,Sandstone
11606,Limestone
8709,Sandstone
1175,Chalk
10618,Sandstone
11518,Limestone
10058,Sandstone
6917,Sandstone
8459,Sandstone
7659,Sandstone
5671,Sandstone
3085,SandstoneShale
10406,Tuff
3731,SandstoneShale
11399,Limestone
4802,Sandstone
507,Limestone
5488,Sandstone
10965,Sandstone
9467,Limestone
6646,Sandstone
2786,Marl
6820,Sandstone
2829,Marl
6794,Sandstone
2352,Limestone
476,Sandstone
10151,Dolomite
10352,Tuff
2548,Marl
600,Tuff
4977,SandstoneShale
10344,Tuff
819,SandstoneShale
11232,Limestone
2219,Limestone
10674,Sandstone
3544,SandstoneShale
8850,Sandstone
12876,Coal
2941,SandstoneShale
4377,Sandstone
6756,Sandstone
5476,Sandstone
3377,Sandstone
12282,Sandstone
11345,Limestone
12939,Sandstone
6744,Sandstone
12032,Coal
7212,SandstoneShale
8861,Sandstone
13883,Coal
1120,Chalk
12535,Sandstone
1500,Chalk
3229,Sandstone
9722,Sandstone
4587,Sandstone
12969,Sandstone
2317,Limestone
2486,Marl
10092,Sandstone
8734,Sandstone
9336,Limestone
1308,Chalk
2927,Marl
8042,Tuff
6873,Sandstone
2621,Limestone
3512,Sandstone
4075,SandstoneShale
10717,Sandstone
12425,Sandstone
10877,Sandstone
2354,Limestone
2660,Marl
3666,Sandstone
1127,Chalk
10426,Tuff
11396,Limestone
11916,Limestone
5993,Sandstone
10119,Sandstone
11947,Limestone
12422,Sandstone
1023,Limestone
12499,Sandstone
4793,Sandstone
9059,Sandstone
2996,SandstoneShale
9910,Sandstone
6969,SandstoneShale
5412,Sandstone
328,Sandstone
120,Limestone
8049,Tuff
789,SandstoneShale
9389,Limestone
7299,SandstoneShale
5738,Sandstone
10170,Dolomite
10211,Tuff
6131,Sandstone
694,Limestone
7611,Sandstone
10606,Sandstone
6707,Sandstone
12437,Sandstone
9637,Limestone
5447,Sandstone
358,Sandstone
3036,SandstoneShale
7152,SandstoneShale
877,SandstoneShale
1422,Chalk
7266,SandstoneShale
113,Limestone
12488,Sandstone
5897,SandstoneShale
11119,Limestone
5567,Sandstone
2569,Marl
3008,SandstoneShale
5542,Sandstone
10652,Sandstone
6563,Sandstone
533,Limestone
5920,Sandstone
3926,SandstoneShale
7916,Tuff
4598,Sandstone
6083,Sandstone
13259,Sandstone
6546,Sandstone
10196,Tuff
6778,Sandstone
6358,SandstoneShale
5343,Sandstone
4101,SandstoneShale
7042,SandstoneShale
4244,Sandstone
11903,Limestone
8979,Sandstone
4969,SandstoneShale
1278,Chalk
33,Sandstone
12597,Sandstone
10295,Tuff
6497,Sandstone
8518,Sandstone
12512,Sandstone
6941,Sandstone
3748,SandstoneShale
2081,Chalk
6435,Sandstone
2438,Limestone
6901,SandstoneShale
3383,Sandstone
228,SandstoneShale
8883,Sandstone
8691,Sandstone
10957,Sandstone
7796,Sandstone
4399,Sandstone
9241,Limestone
6405,Sandstone
3643,SandstoneShale
9931,Sandstone
10868,Sandstone
7525,Sandstone
5211,Sandstone
11240,Limestone
1863,Marl
3784,Sandstone
5130,SandstoneShale
3758,Sandstone
5426,Sandstone
12239,Sandstone
863,SandstoneShale
10633,Sandstone
7532,Sandstone
3306,SandstoneShale
5186,Sandstone
13176,Coal
8770,Sandstone
4688,SandstoneShale
10513,Sandstone
9575,Limestone
3154,Sandstone
13212,Coal
9985,Sandstone
7628,Sandstone
1129,Chalk
6174,SandstoneShale
6141,Sandstone
1608,Chalk
11680,Limestone
13743,Sandstone
6411,Sandstone
12881,Coal
4480,Sandstone
4114,SandstoneShale
3160,Sandstone
2929,Marl
7479,Sandstone
5721,Sandstone
8716,Sandstone
7221,SandstoneShale
441,Sandstone
4257,Sandstone
1582,Chalk
469,Sandstone
4642,Sandstone
6936,Sandstone
8332,Sandstone
9859,Sandstone
7140,SandstoneShale
4134,SandstoneShale
1115,Chalk
5484,Sandstone
1299,Chalk
4277,SandstoneShale
2347,Limestone
9982,Sandstone
3686,Sandstone
11433,Limestone
12820,Sandstone
10552,Sandstone
472,Sandstone
6712,Sandstone
13740,Sandstone
6876,Sandstone
12900,Sandstone
1587,Chalk
5397,Sandstone
8138,Tuff
9278,Limestone
4891,SandstoneShale
13529,Sandstone
2303,Limestone
1762,Chalk
7982,Tuff
9515,Limestone
13491,Sandstone
8445,Sandstone
2785,Marl
6298,Sandstone
11849,Limestone
3655,Sandstone
13601,Sandstone
11403,Limestone
6766,Sandstone
13644,Sandstone
3718,SandstoneShale
11718,Limestone
7023,SandstoneShale
9331,Limestone
6746,Sandstone
10927,Sandstone
4748,SandstoneShale
7680,Sandstone
10615,Sandstone
2212,Limestone
6720,Sandstone
8475,Sandstone
4243,Sandstone
10846,Sandstone
12091,SandstoneShale
9045,Sandstone
3295,Sandstone
2584,Marl
5563,Sandstone
9218,Limestone
6596,Coal
5494,Sandstone
2816,Marl
9216,Limestone
4506,Sandstone
12533,Sandstone
1496,Chalk
6300,SandstoneShale
7592,Sandstone
4954,Sandstone
6061,Sandstone
3523,SandstoneShale
10247,Tuff
4321,Sandstone
7337,SandstoneShale
8750,SandstoneShale
8343,Sandstone
3852,SandstoneShale
2401,Limestone
8028,Tuff
6937,Sandstone
1596,Chalk
12092,SandstoneShale
2005,Chalk
13728,Sandstone
4185,SandstoneShale
10335,Tuff
5507,Sandstone
6824,Sandstone
346,Sandstone
12264,Sandstone
9428,Limestone
5561,Sandstone
13141,Sandstone
9784,Sandstone
9193,Limestone
13758,Sandstone
122,Limestone
6782,Sandstone
4414,Sandstone
5075,SandstoneShale
13426,Sandstone
10440,SandstoneShale
12298,Sandstone
13214,Coal
10938,Sandstone
10833,Sandstone
5964,Sandstone
6491,Sandstone
9536,Marl
2775,SandstoneShale
8065,Tuff
4136,SandstoneShale
7466,Sandstone
12853,SandstoneShale
8163,Tuff
9605,Limestone
6711,Sandstone
2656,Marl
2733,SandstoneShale
12280,Sandstone
12180,Sandstone
6694,Sandstone
10273,Tuff
6699,Sandstone
2623,Limestone
10133,Sandstone
10792,Sandstone
6561,Sandstone
9513,Limestone
13304,Coal
10632,Sandstone
6037,Sandstone
491,Limestone
9120,Sandstone
5125,SandstoneShale
4706,Sandstone
3836,Sandstone
2520,Marl
10057,Sandstone
9879,Sandstone
1631,Chalk
10428,Tuff
5776,Marl
9437,Limestone
12627,Coal
7080,SandstoneShale
4800,SandstoneShale
12682,Limestone
9039,Sandstone
9231,Limestone
202,SandstoneShale
4799,SandstoneShale
9846,Sandstone
13840,Coal
9739,Sandstone
4771,SandstoneShale
6948,Sandstone
11724,Limestone
10999,Sandstone
6243,Sandstone
6635,Sandstone
3161,Sandstone
2769,Sandstone
6102,Sandstone
11795,Limestone
13746,Sandstone
11133,Limestone
11789,Limestone
8039,Tuff
7705,Sandstone
913,Limestone
13076,Sandstone
10390,Tuff
7717,Sandstone
8872,Sandstone
1430,Chalk
847,SandstoneShale
1700,Marl
2308,Limestone
12659,Sandstone
4559,Sandstone
13475,Sandstone
7701,Sandstone
10580,Sandstone
12274,Sandstone
995,Limestone
8721,Sandstone
4741,SandstoneShale
12467,Sandstone
1841,Chalk
10164,Limestone
5498,Sandstone
12729,Coal
5067,SandstoneShale
197,SandstoneShale
5320,Sandstone
7989,Tuff
13445,SandstoneShale
7096,SandstoneShale
5052,Sandstone
10694,Sandstone
10994,Sandstone
11183,Limestone
1628,Chalk
12120,Sandstone
3406,SandstoneShale
233,SandstoneShale
1515,Chalk
3668,Sandstone
4712,Sandstone
8031,Tuff
7509,Sandstone
2522,Marl
349,Sandstone
9773,Sandstone
13922,Sandstone
3858,Sandstone
7167,SandstoneShale
1562,Chalk
642,Tuff
5306,Sandstone
10546,Sandstone
11814,Limestone
11895,Limestone
11853,Limestone
542,Limestone
11748,Limestone
9075,Sandstone
2418,Limestone
6548,Sandstone
7790,Sandstone
11608,Limestone
1334,Chalk
141,Limestone
11632,Limestone
8276,Sandstone
13285,Coal
7915,Tuff
6854,Sandstone
13909,Sandstone
4717,Sandstone
6398,Sandstone
12197,Sandstone
3003,SandstoneShale
2658,Marl
8671,Sandstone
9247,Limestone
13718,Sandstone
2437,Limestone
13620,Sandstone
5471,Sandstone
11337,Limestone
1673,Chalk
4803,Sandstone
8599,Sandstone
6258,Sandstone
3427,Sandstone
5150,SandstoneShale
2068,Chalk
12267,Sandstone
12067,SandstoneShale
13803,Sandstone
6046,Sandstone
13196,Coal
3592,SandstoneShale
11314,Limestone
1818,Chalk
11541,Limestone
5850,SandstoneShale
11351,Limestone
10031,Sandstone
1798,Chalk
7536,Sandstone
13242,SandstoneShale
4364,Sandstone
3037,SandstoneShale
712,Tuff
6146,SandstoneShale
8510,Sandstone
12021,Coal
10684,Sandstone
3783,Sandstone
10509,Sandstone
2056,Chalk
6454,Coal
5847,SandstoneShale
10667,Sandstone
8116,Tuff
20,SandstoneShale
8569,Limestone
12918,Sandstone
3181,Sandstone
7914,Tuff
12158,Sandstone
7178,SandstoneShale
12648,Sandstone
10188,Tuff
6208,Sandstone
2501,Marl
11962,Limestone
3801,Sandstone
7996,Tuff
1404,Chalk
6806,Sandstone
895,Marl
348,Sandstone
10631,Sandstone
967,Limestone
3879,Sandstone
2508,Marl
7478,Sandstone
2357,Limestone
9548,Limestone
8423,Sandstone
4715,Sandstone
12614,Coal
3628,SandstoneShale
6678,Sandstone
2958,SandstoneShale
13779,Sandstone
775,SandstoneShale
12558,Sandstone
11408,Limestone
1635,Marl
212,SandstoneShale
9304,Limestone
12299,Sandstone
5422,Sandstone
10756,Sandstone
5406,Sandstone
11616,Limestone
3751,SandstoneShale
9385,Limestone
10001,Sandstone
12481,Sandstone
9382,Limestone
6780,Sandstone
1977,Chalk
767,SandstoneShale
1427,Chalk
6346,Sandstone
9022,Sandstone
3739,SandstoneShale
9904,Sandstone
4563,Sandstone
5508,Sandstone
11391,Limestone
4153,Sandstone
1386,Chalk
3195,Sandstone
11511,Limestone
4194,Sandstone
5783,Marl
3376,SandstoneShale
12109,SandstoneShale
2129,Limestone
11372,Limestone
769,SandstoneShale
9506,Limestone
2640,Marl
2080,Chalk
226,SandstoneShale
9896,Sandstone
10470,SandstoneShale
11499,Limestone
10803,Sandstone
1111,Limestone
5224,Sandstone
3241,Sandstone
9242,Limestone
262,Limestone
5281,Sandstone
426,Sandstone
7397,SandstoneShale
12964,Sandstone
6538,Sandstone
1736,Chalk
9516,Limestone
136,Limestone
3016,SandstoneShale
10708,Sandstone
2697,Marl
8964,Sandstone
13726,Sandstone
5196,Sandstone
1561,Chalk
8175,Tuff
10529,Sandstone
3025,SandstoneShale
7282,SandstoneShale
1723,Chalk
9992,Sandstone
10417,Tuff
3335,Sandstone
6580,Sandstone
9657,Limestone
13300,Coal
8554,Sandstone
3228,Sandstone
9779,Sandstone
13832,SandstoneShale
12270,Sandstone
10228,Tuff
13349,Sandstone
7855,Sandstone
10762,Sandstone
1881,Chalk
3416,SandstoneShale
13038,Sandstone
6184,Sandstone
11226,Limestone
4361,Sandstone
2088,Chalk
5831,Marl
1572,Chalk
8822,Limestone
550,Tuff
9094,Sandstone
3713,SandstoneShale
13677,Sandstone
5725,Sandstone
13963,Sandstone
1743,Chalk
11298,Limestone
1599,Chalk
6614,Coal
3278,Sandstone
13069,Sandstone
4311,Sandstone
12994,Sandstone
10077,Sandstone
13004,Sandstone
4600,Sandstone
10795,Sandstone
7180,SandstoneShale
9989,Sandstone
5873,SandstoneShale
13941,Coal
805,SandstoneShale
10666,Sandstone
376,Sandstone
9813,Sandstone
1211,Chalk
6591,Coal
6431,Sandstone
7243,SandstoneShale
5401,Sandstone
11812,Limestone
9420,Limestone
12528,Sandstone
12786,SandstoneShale
10736,Sandstone
7483,Sandstone
7377,SandstoneShale
12472,Sandstone
10934,Sandstone
1010,Limestone
3226,Sandstone
5053,Sandstone
10637,Sandstone
11946,Limestone
3869,Sandstone
2794,Marl
3387,SandstoneShale
13571,Sandstone
5826,Marl
11684,Limestone
2287,Limestone
5469,Sandstone
12011,Limestone
9244,Limestone
7939,Tuff
10201,Tuff
11072,Sandstone
3982,SandstoneShale
7298,SandstoneShale
10429,Tuff
8410,Sandstone
13898,Coal
5463,Sandstone
13258,Sandstone
11424,Limestone
13830,Sandstone
8438,Sandstone
5144,SandstoneShale
10359,Tuff
12857,SandstoneShale
3272,Sandstone
9569,Limestone
10995,Sandstone
10629,Sandstone
10826,Sandstone
9699,Sandstone
1180,Chalk
1271,Chalk
7106,SandstoneShale
2967,SandstoneShale
1396,Chalk
8304,Sandstone
2419,Limestone
13786,Sandstone
9524,Marl
3255,Sandstone
2378,Limestone
11420,Limestone
6155,Sandstone
9434,Limestone
8004,Tuff
3989,Sandstone
2244,Limestone
12332,Sandstone
1168,Chalk
4113,SandstoneShale
3558,SandstoneShale
7610,Sandstone
6896,SandstoneShale
2227,Marl
8810,Limestone
3975,SandstoneShale
10835,Sandstone
2325,Limestone
5713,Sandstone
7602,Sandstone
13634,Sandstone
1053,Limestone
8105,Tuff
2823,Marl
292,Sandstone
1224,Chalk
7190,SandstoneShale
915,Limestone
6308,SandstoneShale
12934,Sandstone
1714,Chalk
9878,Sandstone
6741,Sandstone
9315,Limestone
10453,SandstoneShale
9395,Limestone
13813,Sandstone
5571,Sandstone
3560,SandstoneShale
7582,Sandstone
3212,Sandstone
4863,SandstoneShale
841,SandstoneShale
11394,Limestone
12159,Sandstone
11761,Limestone
1671,Chalk
2505,Marl
3048,SandstoneShale
4545,Sandstone
12619,Coal
3400,Limestone
9782,Sandstone
4400,Sandstone
1956,Chalk
11136,Limestone
10445,SandstoneShale
2707,Sandstone
9171,Limestone
11043,Sandstone
1975,Chalk
8916,SandstoneShale
5657,Sandstone
9460,Limestone
3468,SandstoneShale
989,Limestone
9630,Limestone
9393,Limestone
6271,Sandstone
1454,Chalk
3969,SandstoneShale
10130,Sandstone
1283,Marl
11058,Sandstone
1191,Chalk
2990,SandstoneShale
3001,SandstoneShale
7585,Sandstone
8499,Sandstone
4995,SandstoneShale
5593,Sandstone
8472,Sandstone
8011,Tuff
1722,Chalk
8912,Sandstone
12123,Sandstone
12291,Sandstone
10242,Tuff
8194,Tuff
12327,Sandstone
12152,Sandstone
11030,Sandstone
4498,Sandstone
1835,Chalk
4348,Sandstone
8481,Sandstone
10038,Sandstone
4458,Sandstone
9744,Sandstone
7809,Sandstone
7887,Sandstone
12633,Coal
9503,Limestone
5114,SandstoneShale
11115,Limestone
6533,Sandstone
11758,Limestone
10267,Tuff
12192,Sandstone
12251,Sandstone
5770,Marl
1357,Chalk
8270,Sandstone
12933,Sandstone
11564,Limestone
8606,Sandstone
13435,Sandstone
6999,SandstoneShale
7827,Sandstone
4157,Sandstone
11191,Limestone
2083,Chalk
5346,Sandstone
13112,SandstoneShale
374,Sandstone
6511,Sandstone
13951,Coal
3769,Sandstone
4227,Sandstone
6554,Sandstone
11999,Limestone
6345,Sandstone
3987,Sandstone
11467,Limestone
1595,Chalk
4203,SandstoneShale
4177,SandstoneShale
2552,Marl
2485,Marl
1623,Chalk
10317,Tuff
4764,SandstoneShale
13389,Coal
8328,Sandstone
8776,Sandstone
6793,Sandstone
26,SandstoneShale
5750,Sandstone
12314,Sandstone
8600,Sandstone
10369,Tuff
13765,Sandstone
5002,SandstoneShale
4191,SandstoneShale
11754,Limestone
47,Sandstone
570,Tuff
5501,Sandstone
7741,Sandstone
6175,SandstoneShale
1093,Limestone
334,Sandstone
4696,SandstoneShale
9212,Limestone
11920,Limestone
258,Limestone
10000,Sandstone
11905,Limestone
12519,Sandstone
5470,Sandstone
10772,Sandstone
13531,Sandstone
7522,Sandstone
5606,Sandstone
5506,Sandstone
8945,Sandstone
9253,Limestone
6047,Sandstone
13262,Sandstone
8143,Tuff
10009,Sandstone
11106,Limestone
2202,Limestone
12142,Sandstone
5717,Sandstone
8980,Sandstone
6525,Sandstone
11725,Limestone
12428,Sandstone
7547,Sandstone
5785,Marl
4062,SandstoneShale
9547,Limestone
10383,Tuff
11910,Limestone
2917,Marl
10427,Tuff
1293,Chalk
9068,Limestone
6977,SandstoneShale
8571,Limestone
13047,Sandstone
8288,Sandstone
10159,Dolomite
9996,Sandstone
12688,Limestone
11792,Limestone
7457,Sandstone
3024,SandstoneShale
10567,Sandstone
10187,Tuff
12396,Sandstone
11878,Limestone
2940,Marl
2689,Limestone
1602,Chalk
7932,Tuff
7544,Sandstone
9736,Sandstone
10420,Limestone
1219,Chalk
5663,Sandstone
5983,Sandstone
5888,SandstoneShale
4460,Sandstone
7284,SandstoneShale
7652,Sandstone
7168,SandstoneShale
10363,Tuff
6467,Coal
2681,Marl
6632,Coal
10499,Sandstone
2886,Sandstone
225,SandstoneShale
2821,Marl
999,Limestone
9586,Limestone
1462,Chalk
10379,Tuff
7861,Sandstone
4026,SandstoneShale
9838,Sandstone
4507,Sandstone
1742,Chalk
11002,Sandstone
3868,Sandstone
11470,Limestone
8152,Tuff
4783,SandstoneShale
9294,Limestone
9048,Sandstone
10726,Sandstone
3951,Sandstone
10541,Sandstone
5472,Sandstone
4824,SandstoneShale
13607,Sandstone
1639,Chalk
13585,Sandstone
4198,Sandstone
4306,Sandstone
11605,Limestone
13816,Sandstone
7850,Sandstone
5648,Sandstone
8909,Sandstone
23,SandstoneShale
7219,SandstoneShale
1320,Chalk
1477,Chalk
6687,Sandstone
13115,SandstoneShale
11148,Limestone
8103,Tuff
9321,Limestone
11001,Sandstone
6286,Sandstone
3013,SandstoneShale
1656,Chalk
6670,Sandstone
12821,SandstoneShale
4208,Sandstone
6437,Sandstone
6905,SandstoneShale
10748,Sandstone
9662,Limestone
7401,SandstoneShale
11018,Sandstone
13220,Sandstone
8692,Sandstone
2758,SandstoneShale
13924,Coal
13442,Sandstone
4541,Sandstone
2011,Chalk
9164,Limestone
6827,Sandstone
10936,Sandstone
4596,SandstoneShale
9785,Sandstone
256,Limestone
248,SandstoneShale
3505,SandstoneShale
5645,Sandstone
5352,Sandstone
3182,Sandstone
1114,Chalk
4855,Sandstone
3898,Sandstone
1893,Chalk
1347,Chalk
208,SandstoneShale
11318,Limestone
1237,Chalk
5205,Sandstone
5628,Sandstone
979,Limestone
656,Tuff
6255,Sandstone
11882,Limestone
13441,Sandstone
7896,Sandstone
7043,SandstoneShale
8896,Sandstone
1259,Chalk
2263,Limestone
13029,Sandstone
6690,Sandstone
5706,Sandstone
236,SandstoneShale
10400,Tuff
4714,Sandstone
2931,Marl
1255,Marl
3589,SandstoneShale
7318,SandstoneShale
8653,Sandstone
10490,Sandstone
1627,Chalk
7638,Sandstone
4245,Sandstone
5310,Sandstone
12105,SandstoneShale
13497,Sandstone
11693,Limestone
2429,Limestone
